,,,,,,,,,,,
Time stamp,Inside_humidity (in %rH),Inside_temperature (in �C),Inside_pressure (in mbar),Soil_moisture (in %VWC),Soil_temperature (in �C),Inside_CO2_ratio (in ppm),Outside_humidity (in %rH),Outside_temperature (in �C),Outside_pressure (in mbar),Outside_PAR (in �mol m^-2 s^-1),Power_box_charge (in V)
6/15/2019 15:33:37.683364349,83.70906,25.564755,1005.66276,44.622346,25.664771,488.106923,84.15557,25.875813,1002.220737,17.587182,12.152887
6/15/2019 15:33:38.683364349,83.801053,25.56883,1005.646359,43.336051,25.438105,484.87861,83.700281,25.854446,1002.020458,8.142078,12.16457
6/15/2019 15:33:39.683364349,83.91933,25.592612,1005.725368,43.46605,25.438227,486.086347,83.858141,25.889201,1003.195661,18.306102,12.139719
6/15/2019 15:33:40.683364349,83.912759,25.520634,1005.961607,43.294394,25.436676,485.617845,83.874175,25.769156,1002.037648,8.387834,12.160063
6/15/2019 15:33:41.683364349,83.860192,25.649181,1007.135389,45.116008,25.584318,488.424956,83.83948,25.89428,1002.248338,9.396798,12.148353
6/15/2019 15:33:42.683364349,83.735344,25.522056,1006.52847,42.838394,25.391653,484.552031,83.781445,25.757324,1001.718613,12.790741,12.161863
6/15/2019 15:33:43.683364349,84.050749,25.598483,1005.721662,43.094067,25.452351,486.109345,83.928661,25.961939,1002.228625,21.735159,12.13048
6/15/2019 15:33:44.683364349,83.801053,25.474609,1003.990243,43.164442,25.319118,485.454881,83.573987,25.75888,1001.58914,16.9699,12.126183
6/15/2019 15:33:45.683364349,84.031036,25.632916,1006.245629,44.14419,25.479577,487.773113,83.772824,25.790005,1002.570209,17.082565,12.121781
6/15/2019 15:33:46.683364349,83.998181,25.463316,1005.223164,42.831401,25.359611,485.679607,83.761732,25.773929,1001.602701,13.905816,12.16599
6/15/2019 15:33:47.683364349,83.879905,25.5252,1004.073982,43.309883,25.460269,489.264065,84.04778,25.866891,1002.434113,19.130093,12.1401
6/15/2019 15:33:48.683364349,84.096746,25.417216,1006.069712,42.42083,25.37553,486.289391,83.466644,25.731279,1001.969679,15.759198,12.143438
6/15/2019 15:33:49.683364349,84.1296,25.67584,1005.585802,43.682728,25.429778,487.029931,83.68585,25.787518,1001.87758,18.743382,12.137012
6/15/2019 15:33:50.683364349,83.939043,25.511138,1005.041333,42.965473,25.384837,485.364858,83.780841,25.75743,1001.738483,10.600947,12.164019
6/15/2019 15:33:51.683364349,84.155884,25.498092,1006.273544,43.694736,25.519742,488.900037,83.965117,25.873739,1002.408248,17.387794,12.136434
6/15/2019 15:33:52.683364349,83.906188,25.453296,1004.36944,42.797068,25.311445,485.917479,83.791513,25.769156,1002.219322,15.461833,12.134686
6/15/2019 15:33:53.683364349,84.063891,25.601883,1007.437311,45.314615,25.40247,484.090748,83.466749,25.945652,1003.154028,17.517224,12.112016
6/15/2019 15:33:54.683364349,83.965327,25.511287,1006.871158,43.594493,25.409777,486.466153,83.785704,25.801424,1002.388378,7.280623,12.127905
6/15/2019 15:33:55.683364349,84.037607,25.503364,1006.038803,43.574136,25.573582,487.602929,83.963067,25.86886,1002.604748,16.201721,12.123634
6/15/2019 15:33:56.683364349,84.037607,25.557387,1004.307462,43.253184,25.410348,485.775545,83.659752,25.863473,1001.84525,7.523757,12.127182
6/15/2019 15:33:57.683364349,84.445006,25.487323,1003.224674,42.104505,25.488312,489.135277,83.674654,25.725574,1002.657263,27.157514,12.102422
6/15/2019 15:33:58.683364349,84.19531,25.527328,1004.402163,42.922792,25.425615,486.348533,83.784652,25.815225,1002.112241,9.167808,12.146816
6/15/2019 15:33:59.683364349,84.431864,25.680588,1006.065376,44.495739,25.561092,488.993996,84.07472,25.915553,1002.086848,9.724035,12.128995
6/15/2019 15:34:00.683364349,84.090175,25.517757,1004.858712,42.774139,25.35512,485.604699,83.774612,25.73076,1001.889091,14.979224,12.148905
6/15/2019 15:34:01.683364349,84.491002,25.552083,1005.948675,43.395243,25.450922,489.054454,83.710716,25.912653,1002.897761,14.024762,12.131873
6/15/2019 15:34:02.683364349,84.201881,25.527777,1005.50285,43.318159,25.405817,487.091051,83.674654,25.787518,1002.078967,9.280202,12.164045
6/15/2019 15:34:03.683364349,84.550141,25.681486,1005.583514,43.966095,25.444432,487.372277,83.879405,25.759398,1002.379547,18.517014,12.136
6/15/2019 15:34:04.683364349,84.247877,25.459017,1006.884799,44.87171,25.393898,484.998198,83.464884,25.882047,1003.139045,7.732049,12.099558
6/15/2019 15:34:05.683364349,84.451576,25.608428,1004.006093,43.654101,25.499619,487.99587,83.791775,25.907774,1002.04285,18.458852,12.136526
6/15/2019 15:34:06.683364349,84.241306,25.501342,1006.192642,42.865608,25.346875,485.561987,83.738208,25.752032,1002.140942,16.707378,12.163177
6/15/2019 15:34:07.683364349,84.556712,25.69203,1004.804936,43.660605,25.416389,485.868189,83.870022,25.799963,1002.34643,20.007005,12.148524
6/15/2019 15:34:08.683364349,84.464718,25.565354,1004.926367,43.345742,25.391939,486.574574,83.797846,25.834211,1002.177689,9.218108,12.158933
6/15/2019 15:34:09.683364349,84.307016,25.565653,1005.729626,44.287554,25.581175,488.925666,83.962515,25.906737,1002.510599,12.128673,12.145173
6/15/2019 15:34:10.683364349,84.484431,25.502989,1005.067354,42.638657,25.354345,485.288634,83.777267,25.753588,1002.272466,15.594924,12.139864
6/15/2019 15:34:11.683364349,84.576424,25.602856,1007.231903,45.458734,25.460555,483.586754,83.523627,25.99317,1003.28508,16.483631,12.080134
6/15/2019 15:34:12.683364349,84.497573,25.470759,1005.126413,42.524824,25.310342,484.811585,83.62164,25.744455,1002.011626,15.904085,12.138103
6/15/2019 15:34:13.683364349,84.33987,25.649256,1007.109448,44.90108,25.559377,487.263867,84.012927,25.927279,1002.292336,9.294618,12.143162
6/15/2019 15:34:14.683364349,84.54357,25.606182,1005.59755,43.35971,25.420798,486.048898,83.870521,25.848636,1001.934826,7.609171,12.1644
6/15/2019 15:34:15.683364349,84.491002,25.618448,1006.644144,43.315589,25.405246,486.583773,84.033586,25.968586,1003.040638,13.885118,12.124291
6/15/2019 15:34:16.683364349,84.61585,25.548939,1004.467847,43.452727,25.399001,486.058097,83.636727,25.817299,1002.645752,9.881757,12.135724
6/15/2019 15:34:17.683364349,84.582995,25.760191,1004.727426,44.500118,25.535049,486.920857,83.689057,25.837004,1001.802195,14.718013,12.144516
6/15/2019 15:34:18.683364349,84.445006,25.564456,1006.31975,42.845398,25.385122,485.176929,83.727274,25.794989,1001.648593,12.078103,12.158275
6/15/2019 15:34:19.683364349,84.536999,25.661147,1006.474141,43.797874,25.499333,487.096304,84.149998,25.925417,1002.30101,14.049392,12.142505
6/15/2019 15:34:20.683364349,84.556712,25.565204,1005.199035,43.118245,25.395041,487.790858,83.540476,25.804535,1002.160026,12.235825,12.166095
6/15/2019 15:34:21.683364349,84.61585,25.765837,1004.893802,44.171881,25.50815,489.492728,83.778291,25.905594,1001.764505,10.186986,12.132412
6/15/2019 15:34:22.683364349,84.602708,25.527403,1005.62294,42.709087,25.34063,489.109648,83.777319,25.838053,1001.799044,12.880086,12.123226
6/15/2019 15:34:23.683364349,84.563283,25.639909,1005.886068,44.143947,25.578072,491.181472,83.791171,25.99535,1002.211592,10.32559,12.13048
